001-100002;445;444
001-100003;445;444
001-100004;445;444
001-100006;445;444
001-100008;445
001-100009;445
001-100010;
001-100011;
001-100014;350;448
001-100015;350;448
001-100016;445;444
001-100017;445;444
001-100018;445
001-100019;445
001-100022;445
001-100023;445
001-100024;369;304;509;321;216
001-100025;369;304;509;321;216
001-100026;
001-100027;
001-100028;
001-100029;449;350;448;444
001-100030;449;350;448;444
001-100031;
001-100032;609;59;478
001-100033;449;350;448;444
001-100034;449;350;448;444
001-100035;609;59;478
001-100036;448;445
001-100037;448;445
001-100038;444;110;350;620;216
001-100039;444;110;350;620;216
001-100040;448;445
001-100041;448;445
001-100042;343;100;464;354;451;425;216
001-100044;343;100;464;354;451;425;216
001-100049;354;445;7;76;136;451;203;424;216
001-100050;354;445;7;76;136;451;203;424;216
001-100054;354;445;7;40;41;216
001-100055;354;445;7;40;41;216
001-100058;211;445;136;440;122;295
001-100062;183;498;445;136;406;444;110;573;446;428;451;203;268;358;365;376;319;425;216
001-100063;451;203;268;425;426;216
001-100068;
001-100069;
001-100070;
001-100071;
001-100072;
001-100073;
001-100074;
001-100075;
001-100076;
001-100077;
001-100078;216;69;577;283;305
001-100079;216;69;577;283;305
001-100080;
001-100081;
001-100083;445
001-100084;445
001-100087;
001-100088;
001-100093;14;128;398;350;90;596;193;216
001-100095;445
001-100096;14;128;398;350;90;596;193;216
001-100097;
001-100098;
001-100099;350
001-100101;350
001-100102;
001-100104;
001-100105;448
001-100106;448
001-100108;
001-100109;
001-100110;448
001-100112;448
001-100119;451;425;268;107;354;216
001-100121;183;498;354;451;268;107;425;216
001-100122;183;498;354;451;268;107;425;216
001-100124;445;11;12;85;385;296;164;224;216
001-100125;149;148;158;265;379;316;238;354;216
001-100135;445
001-100136;445
001-100137;445
001-100138;445
001-100139;445
001-100140;445
001-100141;350
001-100142;350
001-100143;448
001-100144;448
001-100145;
001-100146;
001-100147;445
001-100148;445
001-100149;445
001-100150;445
001-100151;445
001-100152;445
001-100153;445
001-100154;
001-100155;
001-100156;
001-100157;
001-100158;
001-100159;
001-100160;
001-100161;
001-100162;
001-100163;
001-100164;
001-100165;
001-100166;445
001-100167;445
001-100168;
001-100169;
001-100170;
001-100171;
001-100172;
001-100173;
001-100174;
001-100175;
001-100176;350
001-100177;350
001-100178;
001-100179;
001-100182;183;234;369;304;445;7;40;113;136;406;609;59;478;216
001-100184;445
001-100185;445
001-100186;445
001-100187;445
001-100188;445
001-100189;445
001-100190;448;93;228;275;456;216
001-100192;183;234;369;304;445;7;40;113;136;406;609;59;478;216
001-100194;448;93;228;275;456;216
001-100195;183;498;369;304;445;113;406
001-100196;183;498;369;304;445;113;406
001-100197;343;100;354;451;425;216
001-100198;448;444;350
001-100199;448;444;350
001-100200;343;100;354;451;425;216
001-100202;216;283;305
001-100203;216;283;305
001-100204;149;148;201;316;140;265;379;238;445;451;216
001-100206;445;70;76;181;444;216
001-100207;445;406;40;14;128;471;216
001-100208;293;210;430;449;77;350;90;193;492;448;220;339;552;183;177;14;471;60;402;216;26;126;184;369;635
001-100209;448;220;29;339;30;227;149;316;140;570;423;14;471;60;216
001-100210;350;90;448;220;451;268;329;424;216
001-100211;343;100;349;139;284;216;369
001-100216;451;429;154;237;204;269;371;377;320;531;149;148;343;573;446
001-100217;149;148;201;265;579;379;316;216
001-100218;149;148;201;265;579;379;316;216
001-100219;183;498;445;122;136;440;451;203;268;329;319;424;429;216
001-100220;445;13;40;385;296;216
001-100221;183;498;343;100;350;89;90;369;304;450;240;451;425;216
001-100222;183;177;350;90;193;445;76;122;136;15;119;224;325;406;216
001-100223;183;177;350;193;445;41;70;136;449;216
001-100226;310;354;449;231;496;4;84;216
001-100227;572;442;415;166;445;76;136;406
001-100228;445;76;122;136
001-100229;445;8;76;86;122;136;119;224;295;315;440
001-100230;
001-100231;238;574;476;343;216
001-100232;14;128;109;350;90;445;76;180;406;440;444;110;448;220;227;339;438;481;216
001-100233;
001-100234;448;171;227;404;216
001-100235;
001-100236;
